smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
O=[N+]([O-])c1[nH]ncc1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3419.2,3448.9,267.1746,267.1559633027523,1599.1475,1601,17.39140014,26.14069869,12.00002162,44.46787955
CC1(C)[C@@](C)(OO)OO[C@@]1(C)OO,3218.9011,3220.3,267.1447,267.6044852191641,1601.7418,1602.5,18.57859621,10.25893622,12.00003031,59.16243726
O=[N+]([O-])C=C1NC2NC(=C[N+](=O)[O-])NC2N1,3257.1228,3267.4,267.01517,267.0846075433231,1606.624,1601.9,17.21699103,12.07031392,12.00000307,58.71269198
O=C(c1c([N+](=O)[O-])no[n+]1[O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,3337.5115,3360.8,266.9825,266.91131498470946,1603.4135,1600.3,17.04299861,22.43362007,12.00001198,48.52336935
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3409.2522,3408.7,266.95197,266.9826707441386,1605.567,1606.5,16.09467487,39.98900872,12.00021215,31.91610426
O=[N+]([O-])c1ncn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3347.8655,3332.1,266.9437,265.43323139653415,1608.2504,1595,16.23624362,28.71111951,12.00000398,43.05263289
CN(Cn1nnc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1)[N+](=O)[O-],3332.6147,3343.5,266.92444,267.12538226299694,1611.266,1606.1,16.09444683,27.42104985,12.00000029,44.48450303
O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc1-c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc1[N+](=O)[O-],3564.3035,3577.6,266.90604,267.5025484199796,1605.3997,1606.9,15.75065683,39.99869398,12.00002752,32.25062167
O=[N+]([O-])c1n[nH]c(N=Nc2[nH]nc([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],3363.6855,3394.1,266.88165,266.6462793068298,1598.4918,1597.9,17.09166862,18.90317841,12.00000042,52.00515256
O=[N+]([O-])C(C1=NCN([N+](=O)[O-])CN1[N+](=O)[O-])[N+](=O)[O-],3330.2104,3330.1,266.85065,266.5545361875637,1602.5149,1599.6,16.95428418,27.49193544,12.00000333,43.55377706
O=[N+]([O-])c1c(-c2no[n+]([O-])c2-c2no[n+]([O-])c2[N+](=O)[O-])no[n+]1[O-],3438.9084,3483.2,266.83398,268.6136595310907,1609.1827,1612.4,15.75613068,29.13958656,12.00001766,43.10426509
CC1[C@](C)(O)OO[C@@]1(C)OO,3217.9736,3217.8,266.83234,267.41080530071355,1599.3822,1601.3,18.57722108,10.00188922,12.00012284,59.42076686
[N-]=[N+]=Nc1nnn(N)n1,3275.356,3306.5,266.78128,266.79918450560655,1604.5997,1605,15.6730514,14.28374758,12.00000547,58.04319554
O=[N+]([O-])c1cnn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,3443.2893,3442.3,266.77124,266.80937818552496,1604.8182,1598.9,17.38863396,26.15452807,12.00002824,44.45680973
Nc1n(N)nn[n+]1[O-],3276.0195,3299.3,266.7536,267.30886850152905,1598.0001,1602.8,17.59139596,13.32426855,12.00000941,57.08432608
O=[N+]([O-])C(c1nc(/N=N/c2noc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)no1)([N+](=O)[O-])[N+](=O)[O-],3535.3333,3533,266.7437,267.0948012232416,1609.3292,1606.1,15.05079142,39.75924503,12.00004689,33.18991666
O=[N+]([O-])N1CCN([N+](=O)[O-])n2nnnc21,3301.1345,3316,266.73785,266.7787971457696,1606.5474,1601.4,16.66920085,18.73773421,12.00000588,52.59305906
N=C(Nc1nnc(N)[n+]([O-])n1)N[N+](=O)[O-],3271.388,3290,266.72974,266.7482161060143,1599.944,1600.2,16.96139561,16.02922451,12.00000297,55.00937692
Cc1no[n+]([O-])c1[N+](=O)[O-],3307.465,3326.5,266.72003,266.63608562691127,1601.3981,1596.6,17.89147986,17.82234956,12.00002282,52.28614776
